"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"Ballbreaker","AC/DC","Ballbreaker","1995","No","Angus Young, Malcolm Young","11","04:31","EastWest",2,1,-5.781,127.233,0.000728,0.473,0.862,0.00825,0.121,0.063,0.41,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Baptism By Fire","AC/DC","Rock or Bust","2014","No","Angus Young, Malcolm Young","8","03:30","Columbia",9,1,-4.203,150.188,4.67e-06,0.457,0.93,0.197,0.174,0.0588,0.674,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Beating Around The Bush","AC/DC","Highway to Hell","1979","No","Bon Scott, Angus Young, Malcolm Young","5","03:55","Legacy / Epic",1,0,-5.733,115.754,0.00102,0.476,0.889,0.102,0.17,0.1,0.493,"Pop/Rock","Aussie Rock, Hard Rock, Heavy Metal, Album Rock, Arena Rock","Fun, Rebellious, Rousing, Tough, Raucous, Snide, Nihilistic, Brash","Guys Night Out, Cool & Cocky, In Love, Jealousy, Mischief, Road Trip, Sex, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Bedlam In Belgium","AC/DC","Flick of the Switch","1983","No","Brian Johnson, Angus Young, Malcolm Young","8","03:52","Legacy / Epic",7,1,-4.213,127.728,0.000786,0.48,0.809,0.142,0.127,0.0466,0.679,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Big Balls","AC/DC","Dirty Deeds Done Dirt Cheap","1976","No","Bon Scott, Angus Young, Malcolm Young","3","02:38","Legacy / Epic / Sony Music",9,1,-6.324,107.066,0.432,0.62,0.634,0,0.604,0.198,0.415,"Pop/Rock","Album Rock, Hard Rock, Heavy Metal","Irreverent, Campy, Fun, Humorous, Sexual, Sleazy, Snide, Visceral, Playful, Quirky, Raucous, Witty, Wry, Acerbic","Sex","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Big Gun","AC/DC","Backtracks","1993","Yes","Angus Young, Malcolm Young","11","04:20",NA,9,1,-5.197,133.194,0.00555,0.569,0.901,0.26,0.16,0.0544,0.839,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","Yes","10 Jul 1993","23","3","No","-","-","-","1993","19","5","20","18","3","11","5","-"
"Big Jack","AC/DC","Black Ice","2008","Yes","Angus Young, Malcolm Young","3","03:57","Columbia",11,0,-2.754,125.796,0.000159,0.535,0.891,0.0054,0.0992,0.0417,0.436,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rousing, Boisterous, Bravado, Confident, Gutsy, Outrageous, Playful, Rowdy, Sleazy, Street-Smart, Visceral","Cool & Cocky, Drinking, Guys Night Out, Partying, TGIF","No","-","-","-","No","-","-","-","2008","-","83","-","-","-","-","-","-"
"Black Ice","AC/DC","Black Ice","2008","No","Angus Young, Malcolm Young","15","03:25","Columbia",4,0,-3.89,94.37,0.000323,0.501,0.889,0.00164,0.186,0.0296,0.442,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rousing, Swaggering, Boisterous, Bravado, Confident, Gutsy, Rowdy, Street-Smart, Visceral","Cool & Cocky, Drinking, Guys Night Out, Partying, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Boogie Man","AC/DC","Ballbreaker","1995","No","Angus Young, Malcolm Young","4","04:07","EastWest",9,1,-6.608,111.756,0.0068,0.485,0.603,0.0349,0.227,0.0594,0.468,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Freedom, Guys Night Out, Sex, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Bonny","AC/DC","AC/DC Live","1992","No","Trad. arr. AC/DC",NA,NA,"Atco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
