"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"Up To My Neck In You","AC/DC","Powerage","1978","No","Bon Scott, Angus Young, Malcolm Young","8","04:13","Epic",9,1,-3.932,138.437,0.00022,0.422,0.938,0.88,0.0548,0.0434,0.498,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Drinking, Feeling Blue, Guys Night Out, Loss/Grief, Motivation, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Walk All Over You","AC/DC","Highway to Hell","1979","No","Bon Scott, Angus Young, Malcolm Young","3","05:10","Legacy / Epic",9,1,-4.653,162.003,0.00791,0.233,0.87,0.0198,0.251,0.0643,0.409,"Pop/Rock","Aussie Rock, Hard Rock, Heavy Metal, Album Rock, Arena Rock","Fun, Rebellious, Rousing, Tough, Raucous, Snide, Nihilistic, Brash","Guys Night Out, Cool & Cocky, Mischief, Motivation, Road Trip, Sex, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"War Machine","AC/DC","Black Ice","2008","Yes","Angus Young, Malcolm Young","5","03:09","Columbia",9,1,-4.355,127.593,4.85e-05,0.518,0.718,0.244,0.25,0.0343,0.531,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rousing, Swaggering, Bravado, Aggressive, Confident, Gutsy, Rowdy, Street-Smart, Visceral","Cool & Cocky, Drinking, Guys Night Out, Partying, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"What Do You Do For Money Honey","AC/DC","Back in Black","1980","No","Brian Johnson, Angus Young, Malcolm Young","3","03:35","Sony Music",9,1,-5.023,125.698,0.00533,0.532,0.858,2.13e-06,0.751,0.0599,0.495,"Pop/Rock","Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Fun, Rebellious, Rousing, Tough, Raucous, Snide, Nihilistic, Brash","Guys Night Out, Cool & Cocky, Mischief, Road Trip, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"What's Next To The Moon","AC/DC","Powerage","1978","No","Bon Scott, Angus Young, Malcolm Young","6","03:31","Epic",9,1,-5.019,140.949,0.00115,0.513,0.825,0.00591,0.187,0.0556,0.894,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, In Love, Regret, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Wheels","AC/DC","Black Ice","2008","No","Angus Young, Malcolm Young","8","03:28","Columbia",9,1,-3.079,132.385,9.83e-05,0.494,0.843,0.000275,0.255,0.0338,0.689,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rousing, Boisterous, Bravado, Aggressive, Confident, Gutsy, Outrageous, Rowdy, Street-Smart, Visceral","Cool & Cocky, Drinking, Guys Night Out, Partying, TGIF, Day Driving, Road Trip","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Whiskey On The Rocks","AC/DC","Ballbreaker","1995","No","Angus Young, Malcolm Young","10","04:35","EastWest",9,1,-5.679,94.119,0.00151,0.432,0.613,0.00293,0.0725,0.0315,0.713,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Drinking, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Whole Lotta Rosie","AC/DC","Let There Be Rock","1977","Yes","Bon Scott, Angus Young, Malcolm Young","8","05:33","Epic / Sony Music",9,1,-4.459,159.176,0.0014,0.292,0.838,0.479,0.0953,0.078,0.423,"Pop/Rock","Album Rock, Arena Rock, Hard Rock, Heavy Metal, Aussie Rock","Boisterous, Rambunctious, Sleazy, Aggressive, Celebratory, Fun, Raucous, Rousing, Rowdy, Sexual, Brash, Confident, Humorous, Irreverent, Outrageous, Visceral","Guys Night Out","Yes","01 Dec 2012","68","1","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Who Made Who","AC/DC","Live","1986","Yes","Brian Johnson, Angus Young, Malcolm Young","4","05:16",NA,0,1,-5.135,125.274,0.000286,0.514,0.825,0.293,0.607,0.0487,0.655,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","Yes","24 May 1986","16","7","No","-","-","-","1986","9","-","-","-","35","-","-","-"
"Wild Reputation","AC/DC","Power Up","2020","No","Angus Young, Malcolm Young","8","02:54","Columbia",0,1,-5.744,108.016,0.00012,0.737,0.709,0.00294,0.199,0.0337,0.839,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Witch's Spell","AC/DC","Power Up","2020","No","Angus Young, Malcolm Young","6","03:42","Columbia",9,1,-4.39,120.029,0.000165,0.616,0.801,3.97e-05,0.11,0.0342,0.4,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"You Ain't Got A Hold On Me","AC/DC","High Voltage","1975","No","Bon Scott, Angus Young, Malcolm Young",NA,NA,"Legacy / Epic / Sony Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"You Shook Me All Night Long","AC/DC","Back in Black","1980","Yes","Brian Johnson, Angus Young, Malcolm Young","7","03:30","Sony Music",7,1,-5.51,127.316,0.00224,0.529,0.768,0.00075,0.297,0.0566,0.769,"Pop/Rock","Hard Rock, Heavy Metal, Arena Rock, Album Rock, Aussie Rock","Humorous, Sexual, Hedonistic, Playful, Rambunctious, Sexy, Trashy, Boisterous, Energetic, Raucous, Sleazy, Freewheeling","Late Night, Guys Night Out, Cool & Cocky, Drinking, Partying, Sex","Yes","01 Dec 2012","42","1","Yes","09.06.80","35","16","1980","8","-","29","-","-","-","-","AUS: 8× Platinum[47]
GER: Gold[37]
UK: Platinum[27]
US: 3× Platinum (mastertone)[28]"
"2 A.m.","Iron Maiden","The X Factor","1995","No","Steve Harris, Blaze Bayley, Janick Gers","10","05:35","BMG / Iron Maiden Holdings / Sanctuary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"2 Minutes To Midnight","Iron Maiden","Powerslave","1984","Yes","Bruce Dickinson, Adrian Smith","2","06:00","EMI Music Distribution",9,0,-5.004,94.233,0.00754,0.446,0.97,0.000275,0.199,0.0508,0.595,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","Yes","18 Aug 1984","11","6","No","-","-","-","-","-","-","-","-","-","-","-","-"
"22 Acacia Avenue","Iron Maiden","The Number of the Beast","1982","No","Steve Harris, Adrian Smith","4","06:37","EMI Music Distribution / Metal-Is / Capitol / Sony Music Distribution",0,1,-5.866,112.737,0.0359,0.305,0.907,0.0593,0.102,0.0619,0.544,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Aces High","Iron Maiden","Powerslave","1984","Yes","Steve Harris ","1","04:29","EMI Music Distribution",2,1,-5.399,133.065,0.0337,0.3,0.936,0.021,0.158,0.0456,0.756,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out, Victory","Yes","03 Nov 1984","20","5","No","-","-","-","1984","-","-","-","-","22","-","-","-"
"Afraid To Shoot Strangers","Iron Maiden","Fear of the Dark","1992","No","Steve Harris ","3","06:56","Epic",6,0,-5.331,156.64,0.00325,0.279,0.817,0.0346,0.0855,0.0458,0.366,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Aftermath","Iron Maiden","The X Factor","1995","No","Steve Harris, Blaze Bayley, Janick Gers","6","06:19","BMG / Iron Maiden Holdings / Sanctuary",9,0,-6.693,123.543,0.0447,0.392,0.679,0.00172,0.0999,0.0449,0.224,"Electronic, Pop/Rock","Club/Dance, Heavy Metal","Brooding","Feeling Blue, Loss/Grief","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Age Of Innocence","Iron Maiden","Dance of Death","2003","No","Steve Harris, Dave Murray","10","06:10","Columbia",4,0,-5.357,136.217,0.000103,0.213,0.932,0.00157,0.288,0.0794,0.239,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Alchemist","Iron Maiden","The Final Frontier","2010","No","Steve Harris, Bruce Dickinson, Janick Gers","5","04:28","Legacy / Universal Music",7,1,-4.902,123.937,0.000109,0.313,0.966,0,0.116,0.0688,0.545,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Alexander The Great","Iron Maiden","Somewhere in Time","1986","No","Steve Harris ","8","08:37","Capitol",4,0,-5.003,113.321,0.084,0.454,0.944,0.0119,0.11,0.0849,0.288,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"All In Your Mind","Iron Maiden","Holy Smoke","1990","No","Del Bromham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Angel And The Gambler","Iron Maiden","Virtual XI","1998","Yes","Steve Harris ","2","09:52","BMG Rights Management / Iron Maiden Holdings / Sanctuary",2,1,-6.284,159.622,0.102,0.311,0.822,0.00195,0.097,0.0438,0.376,"Pop/Rock","Heavy Metal","Brooding",NA,"Yes","21 Mar 1998","18","3","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Another Life","Iron Maiden","Killers","1981","No","Steve Harris ","4","03:24","EMI Music Distribution",2,1,-5.13,184.314,0.00113,0.201,0.959,0.422,0.177,0.14,0.666,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Apparition","Iron Maiden","Fear of the Dark","1992","No","Steve Harris, Janick Gers","9","03:54","Epic",9,1,-4.281,98.092,0.000985,0.592,0.929,9.53e-05,0.0777,0.0378,0.693,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Assassin","Iron Maiden","No Prayer for the Dying","1990","No","Steve Harris ","6","04:35","Raw Power Records",0,1,-4.474,97.89,0.0487,0.272,0.967,0.000932,0.233,0.0618,0.599,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out, Motivation, Scary Music","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Back In The Village","Iron Maiden","Powerslave","1984","No","Bruce Dickinson, Adrian Smith","6","05:20","EMI Music Distribution",7,1,-4.614,131.791,0.00261,0.347,0.98,0.000302,0.246,0.0706,0.551,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Bayswater Ain't A Bad Place To Be","Iron Maiden","Be Quick or Be Dead","1992","No","Bruce Dickinson, Janick Gers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Be Quick Or Be Dead","Iron Maiden","Fear of the Dark","1992","Yes","Bruce Dickinson, Janick Gers","1","03:25","Epic",7,0,-4.354,127.721,9.4e-05,0.319,0.965,0.00221,0.141,0.0646,0.624,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","Yes","25 Apr 1992","2","4","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Black Bart Blues","Iron Maiden","Can I Play with Madness","1988","No","Steve Harris, Bruce Dickinson","2","06:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop/Rock","Hard Rock","Aggressive, Rousing",NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Blood Brothers","Iron Maiden","Brave New World","2000","No","Steve Harris ","4","07:14","Portrait / Sony Music Distribution",4,0,-6.316,182.679,0.0501,0.243,0.809,0.0338,0.133,0.0479,0.444,"Pop/Rock","Hard Rock, Heavy Metal, Speed/Thrash Metal","Aggressive","Feeling Blue, Loss/Grief","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Blood On The World's Hands","Iron Maiden","The X Factor","1995","No","Steve Harris ","8","05:55","BMG / Iron Maiden Holdings / Sanctuary",0,1,-7.632,167.432,0.171,0.366,0.841,0.0965,0.122,0.109,0.379,"Electronic, Pop/Rock","Club/Dance, Heavy Metal","Brooding","Feeling Blue, Loss/Grief","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Book Of Souls","Iron Maiden","The Book of Souls","2015","No","Janick Gers, Steve Harris","6","10:31","Parlophone",4,0,-5.505,80.875,0.00383,0.198,0.935,8.16e-05,0.102,0.0968,0.359,NA,NA,NA,NA,"No","-","-","-","Yes","09.26.15","4","6","-","-","-","-","-","-","-","-","-"
"Brave New World","Iron Maiden","Brave New World","2000","No","Steve Harris, Bruce Dickinson, Dave Murray","3","06:18","Portrait / Sony Music Distribution",2,0,-5.185,111.336,0.00651,0.353,0.872,0.000532,0.125,0.0596,0.355,"Pop/Rock","Heavy Metal, Speed/Thrash Metal","Yearning",NA,"No","-","-","-","Yes","06.17.00","39","10","-","-","-","-","-","-","-","-","-"
"Brighter Than A Thousand Suns","Iron Maiden","A Matter of Life and Death","2006","No","Steve Harris, Bruce Dickinson, Adrian Smith","3","08:46","Sanctuary",0,1,-5.655,125.892,0.00161,0.294,0.949,2.79e-05,0.101,0.0851,0.266,"Pop/Rock","British Metal, Heavy Metal","Brooding, Confident, Dramatic, Gritty, Gutsy, Rousing, Slick, Visceral, Menacing, Ominous, Poignant, Reflective, Searching, Theatrical, Volatile","Cool & Cocky, Drinking, Empowerment, Freedom, Guys Night Out, Introspection, Reflection, Regret","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Bring Your Daughter... To The Slaughter","Iron Maiden","No Prayer for the Dying","1990","Yes","Bruce Dickinson","9","04:45","Raw Power Records",9,1,-4.676,146.645,0.0282,0.281,0.916,3.16e-06,0.157,0.0655,0.532,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Menacing, Visceral, Ominous, Unsettling","Halloween, Guys Night Out","Yes","05 Jan 1991","1","5","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Burning Ambition","Iron Maiden","Running Free","1980","No","Steve Harris ","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Can I Play With Madness","Iron Maiden","Seventh Son of a Seventh Son","1988","Yes","Steve Harris, Bruce Dickinson, Adrian Smith","3","03:31","EMI Music Distribution",2,1,-3.491,140.56,0.0891,0.313,0.981,0,0.264,0.0981,0.631,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","Yes","26 Mar 1988","3","6","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Caught Somewhere In Time","Iron Maiden","Somewhere in Time","1986","No","Steve Harris ","1","07:26","Capitol",4,0,-4.408,174.124,0.00218,0.238,0.987,0.0175,0.107,0.168,0.343,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out, Motivation","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Chains Of Misery","Iron Maiden","Fear of the Dark","1992","No","Bruce Dickinson, Dave Murray","8","03:38","Epic",0,1,-3.669,136.068,0.0018,0.305,0.968,1.33e-06,0.275,0.0584,0.382,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, In Love, Halloween, Guys Night Out, Introspection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Charlotte The Harlot","Iron Maiden","Iron Maiden","1980","No","Dave Murray","8","04:13","Capitol",0,1,-4.117,106.922,0.0104,0.358,0.958,8.2e-06,0.406,0.133,0.463,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Childhood's End","Iron Maiden","Fear of the Dark","1992","No","Steve Harris ","5","04:40","Epic",6,0,-4.71,89.092,0.000119,0.269,0.943,0.0283,0.282,0.0476,0.328,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Children Of The Damned","Iron Maiden","The Number of the Beast","1982","No","Steve Harris ","2","04:35","EMI Music Distribution / Metal-Is / Capitol / Sony Music Distribution",4,0,-6.607,96.707,0.0233,0.286,0.775,0.177,0.12,0.0335,0.363,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous, Wistful","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"The Clairvoyant","Iron Maiden","Seventh Son of a Seventh Son","1988","Yes","Steve Harris ","7","04:27","EMI Music Distribution",7,1,-3.746,102.195,0.0623,0.374,0.944,2.13e-05,0.171,0.106,0.467,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","Yes","19 Nov 1988","6","8","No","-","-","-","1988","-","-","-","70","37","-","-","-"
"The Clansman","Iron Maiden","Virtual XI","1998","No","Steve Harris ","4","08:59","BMG Rights Management / Iron Maiden Holdings / Sanctuary",2,1,-6.67,154.106,0.15,0.257,0.683,0.0111,0.116,0.0495,0.177,"Pop/Rock","Hard Rock, Heavy Metal, Speed/Thrash Metal","Aggressive, Yearning","Reflection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Coming Home","Iron Maiden","The Final Frontier","2010","No","Steve Harris, Bruce Dickinson, Adrian Smith","4","05:52","Legacy / Universal Music",4,0,-5.373,80.766,0.000123,0.324,0.914,4.86e-05,0.252,0.0543,0.5,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Communication Breakdown","Iron Maiden","Bring Your Daughter... to the Slaughter","1990","No","Jimmy Page, John Paul Jones, John Bonham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Como Estais Amigos","Iron Maiden","Virtual XI","1998","No","Blaze Bayley, Janick Gers","8","05:30","BMG Rights Management / Iron Maiden Holdings / Sanctuary",2,0,-3.938,87.956,0.0958,0.172,0.665,0.000865,0.122,0.0311,0.148,"Pop/Rock","Heavy Metal, Progressive Metal","Brooding",NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Cross-Eyed Mary","Iron Maiden","The Trooper","1983","No","Ian Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Dance Of Death","Iron Maiden","Dance of Death","2003","No","Steve Harris, Janick Gers","5","08:36","Columbia",4,0,-5.115,124.584,0.0466,0.311,0.876,0.00442,0.134,0.0936,0.296,"Pop/Rock","New Wave of British Heavy Metal, British Metal, Heavy Metal, Hard Rock, Progressive Metal","Aggressive, Dramatic, Intense, Passionate, Volatile, Theatrical, Rousing, Visceral, Eerie, Energetic","Victory, Late Night, Halloween, Guys Night Out, Introspection","No","-","-","-","Yes","09.27.03","18","4","-","-","-","-","-","-","-","-","-"
"Darkest Hour","Iron Maiden","Senjutsu","2021","No","Adrian Smith, Bruce Dickinson","1","7:20","BMG / Sanctuary",4,0,-5.939,133.772,0.0542,0.222,0.925,0.0863,0.395,0.24,0.162,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Days Of Future Past","Iron Maiden","Senjutsu","2021","No","Adrian Smith, Bruce Dickinson","5","04:03","BMG / Sanctuary",4,0,-4.738,92.466,0.000576,0.433,0.92,5.5e-05,0.123,0.0409,0.476,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Death Of The Celts","Iron Maiden","Senjutsu","2021","No","Steve Harris ","2","10:20","BMG / Sanctuary",2,1,-5.807,134.561,0.00711,0.291,0.804,0.21,0.12,0.0414,0.26,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Death Or Glory","Iron Maiden","The Book of Souls","2015","No","Adrian Smith, Bruce Dickinson","1","5:13","Parlophone",9,1,-5.493,176.088,0.000365,0.181,0.974,3.47e-05,0.364,0.162,0.316,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Deja-Vu","Iron Maiden","Somewhere in Time","1986","No","Steve Harris, Dave Murray",NA,NA,"Capitol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Die With Your Boots On","Iron Maiden","Piece of Mind","1983","No","Steve Harris, Bruce Dickinson, Adrian Smith","4","05:29","Raw Power Records",5,1,-5.026,174.78,0.406,0.245,0.947,1.21e-06,0.272,0.114,0.537,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out, Victory","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Different World","Iron Maiden","A Matter of Life and Death","2006","Yes","Steve Harris, Adrian Smith","1","04:18","Sanctuary",4,0,-4.285,91.826,0.000325,0.406,0.975,0.00018,0.613,0.0937,0.602,NA,NA,NA,NA,"Yes","06 Jan 2007","3","3","No","-","-","-","2006","-","-","40","-","-","52","-","-"
"Doctor Doctor","Iron Maiden","Lord of the Flies","1996","No","Michael Schenker, Phil Mogg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Don't Look To The Eyes Of A Stranger","Iron Maiden","Virtual XI","1998","No","Steve Harris ","7","08:03","BMG Rights Management / Iron Maiden Holdings / Sanctuary",8,0,-5.451,152.217,0.0341,0.351,0.788,0.031,0.0844,0.0537,0.473,"Pop/Rock","Heavy Metal, Progressive Metal","Brooding","Reflection, Scary Music","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Dream Of Mirrors","Iron Maiden","Brave New World","2000","No","Steve Harris, Janick Gers","6","09:21","Portrait / Sony Music Distribution",9,0,-4.997,97.848,0.0151,0.295,0.764,0,0.288,0.0538,0.35,"Pop/Rock","Heavy Metal, Speed/Thrash Metal, Progressive Metal","Aggressive, Boisterous, Lively, Yearning","Feeling Blue, Loss/Grief, Reflection","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Drifter","Iron Maiden","Killers","1981","No","Steve Harris ","11","04:51","EMI Music Distribution",0,1,-5.114,101.276,0.000473,0.34,0.974,0.0928,0.373,0.106,0.475,"Pop/Rock","British Metal, Heavy Metal, New Wave of British Heavy Metal","Provocative, Raucous, Intense, Rebellious, Rousing, Volatile, Aggressive, Visceral, Menacing, Ominous","Halloween, Guys Night Out","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
